post_id,title,category,address,tel,lat,lng,score,url
10598,GROW BREW HOUSE（グロウブリューハウス）/タップルーム,ブルーパブ,,,35.8141037,139.7040871,,https://www.beertiful.jp/listing/grow-brew-house/
10597,COEDO（コエド）,醸造所,,,36.0642425,139.3964583,,https://www.beertiful.jp/listing/coedo/
10596,RIO BREWING & CO.（リオ・ブルーイング・コー）,醸造所,,,35.9014976,139.9515246,,https://www.beertiful.jp/listing/rio-brewing-co/
10595,柏ブルワリー本店 KASHIWA BREWERY,ブルーパブ,,,35.8267904,139.959582,,https://www.beertiful.jp/listing/kashiwa-brewery/
10593,鋸南麦酒（きょなんばくしゅ）KYONAN BEER,醸造所,,,35.1280889,139.8367522,,https://www.beertiful.jp/listing/kyonan-beer/
10592,安房麦酒（あわびーる）AWA BEER,醸造所,,,35.0299386,139.8943736,,https://www.beertiful.jp/listing/awa-beer/
10591,ベアーズ『TOKYOベイ麦酒』,醸造所,,,35.3938952,139.9256175,,https://www.beertiful.jp/listing/bears/
10590,SONGBIRD BEER（ソングバード ブルワリー）,醸造所,,,35.3881068,139.9627071,,https://www.beertiful.jp/listing/songbird-beer/
10589,ロコビア（LOCOBEER）,醸造所,,,35.7266862,140.1594757,,https://www.beertiful.jp/listing/locobeer/
10587,成田ファームランド/成田ファーム醸造所,ブルーパブ,,,35.8492954,140.4629986,,https://www.beertiful.jp/listing/narita-farm-brewery/
10585,ロトブルワリー 麺や 天空,ブルーパブ,,,35.4045012,139.597704,,https://www.beertiful.jp/listing/roto-brewery/
10584,In a daze Brewing（イナデイズ ブルーイング）/タップルーム,ブルーパブ,,,35.8743849,137.9372621,,https://www.beertiful.jp/listing/in-a-daze-brewing/
10583,PECCARY BEER（ペッカリービール）,醸造所,,,35.9191207,138.0937854,,https://www.beertiful.jp/listing/peccary-beer/
10580,ムギクラブルーイング（田村醸造）MUGIKURA BREWING,醸造所,,,36.10382232,138.1115456,,https://www.beertiful.jp/listing/mugikura/
10579,麗人酒造,醸造所,,,36.0421835,138.1206604,,https://www.beertiful.jp/listing/reijin/
10578,8Peaks Brewing（エイトピークス･ブルーイング）,醸造所,,,36.0325504,138.2228402,,https://www.beertiful.jp/listing/8peaks-brewing/
10577,白樺リゾート　池の平レイクサイドプラザ,ブルーパブ,,,36.1054327,138.235759,,https://www.beertiful.jp/listing/shirakabaresort/
10576,松本ブルワリー野溝醸造所,醸造所,,,36.19924,137.9500789,,https://www.beertiful.jp/listing/nomizo/
10575,松本ブルワリー/タップルーム（MATSUMOTO BREWERY）,ブルーパブ,,,36.2339319,137.972624,,https://www.beertiful.jp/listing/matsumoto-brewery/
10572,長野みなみ風ビール,ブルーパブ,,,36.6478744,138.1867699,,https://www.beertiful.jp/listing/nagano-minamikaze-beer/
10571,山の間（YAMANOMA）,ブルーパブ,,,36.6469007,138.1855761,,https://www.beertiful.jp/listing/yamanoma/
10570,天神BREWERY（天神ブルワリー）TENZING BREWERY,ブルーパブ,,,36.3974059,138.2493593,,https://www.beertiful.jp/listing/tenzing-brewery/
10569,軽井沢ブルワリー（KARUIZAWA BREWERY）,醸造所,,,36.2901315,138.4803658,,https://www.beertiful.jp/listing/karuizawa-brewery/
10567,ヤッホーブルーイング（YOHO Brewing）,醸造所,,,36.3643217,138.5906263,,https://www.beertiful.jp/listing/yoho-brewing/
10566,QuartetBrewingCo （カルテットブルーイング）,ブルーパブ,,,36.3581787,138.641606,,https://www.beertiful.jp/listing/quartetbrewingco/
